2,0
3,1
0,2
1,3
4,4
5,5
6,6
11,7
8,8
10,9
13,10
9,11
7,12
12,13
16,14
15,15
14,16
17,17
20,18
19,19
18,20
22,21
21,22
24,23
23,24
26,25
27,26
25,27
34,28
28,29
32,30
29,31
30,32
33,33
31,34
39,35
36,36
35,37
37,38
38,39
40,40
44,41
43,42
41,43
42,44
49,45
45,46
50,47
46,48
47,49
48,50
57,51
51,52
52,53
59,54
54,55
55,56
58,57
53,58
56,59
61,60
62,61
60,62
64,63
63,64
68,65
65,66
70,67
67,68
66,69
76,70
69,71
74,72
75,73
71,74
72,75
78,76
77,77
73,78
80,79
79,80
82,81
83,82
86,83
81,84
89,85
85,86
87,87
84,88
90,89
88,90
92,91
91,92
93,93
95,94
96,95
97,96
99,97
94,98
98,99
